id	rollout_key	gold
1	ead74cd7-e8a8-439e-8ca4-dbeae19c21b6#0	1998
2	ead74cd7-e8a8-439e-8ca4-dbeae19c21b6#1	1998
3	ead74cd7-e8a8-439e-8ca4-dbeae19c21b6#2	1998
4	ead74cd7-e8a8-439e-8ca4-dbeae19c21b6#3	1998
5	ead74cd7-e8a8-439e-8ca4-dbeae19c21b6#4	1998
6	ead74cd7-e8a8-439e-8ca4-dbeae19c21b6#5	1998
7	ead74cd7-e8a8-439e-8ca4-dbeae19c21b6#6	1998
8	ead74cd7-e8a8-439e-8ca4-dbeae19c21b6#7	1998
9	eb289a43-ae09-4504-bb54-c57fab13b136#0	71
10	eb289a43-ae09-4504-bb54-c57fab13b136#1	71
11	eb289a43-ae09-4504-bb54-c57fab13b136#2	71
12	eb289a43-ae09-4504-bb54-c57fab13b136#3	71
13	eb289a43-ae09-4504-bb54-c57fab13b136#4	71
14	eb289a43-ae09-4504-bb54-c57fab13b136#5	71
15	eb289a43-ae09-4504-bb54-c57fab13b136#6	71
16	eb289a43-ae09-4504-bb54-c57fab13b136#7	71
17	eb6c1c90-5c67-45b5-9f7b-761969132dde#0	29
18	eb6c1c90-5c67-45b5-9f7b-761969132dde#1	29
19	eb6c1c90-5c67-45b5-9f7b-761969132dde#2	29
20	eb6c1c90-5c67-45b5-9f7b-761969132dde#3	29
21	eb6c1c90-5c67-45b5-9f7b-761969132dde#4	29
22	eb6c1c90-5c67-45b5-9f7b-761969132dde#5	29
23	eb6c1c90-5c67-45b5-9f7b-761969132dde#6	29
24	eb6c1c90-5c67-45b5-9f7b-761969132dde#7	29
25	ec0be3e8-cb53-4556-8e1b-714f6cc954b7#0	359
26	ec0be3e8-cb53-4556-8e1b-714f6cc954b7#1	359
27	ec0be3e8-cb53-4556-8e1b-714f6cc954b7#2	359
28	ec0be3e8-cb53-4556-8e1b-714f6cc954b7#3	359
29	ec0be3e8-cb53-4556-8e1b-714f6cc954b7#4	359
30	ec0be3e8-cb53-4556-8e1b-714f6cc954b7#5	359
31	ec0be3e8-cb53-4556-8e1b-714f6cc954b7#6	359
32	ec0be3e8-cb53-4556-8e1b-714f6cc954b7#7	359
33	ec4489f4-0b41-456a-b71d-d149d035067e#0	5
34	ec4489f4-0b41-456a-b71d-d149d035067e#1	5
35	ec4489f4-0b41-456a-b71d-d149d035067e#2	5
36	ec4489f4-0b41-456a-b71d-d149d035067e#3	5
