id	rollout_key	gold
1	ebb94e46-132f-402d-bb8a-efc702f8331e#0	180
2	ebb94e46-132f-402d-bb8a-efc702f8331e#1	180
3	ebb94e46-132f-402d-bb8a-efc702f8331e#2	180
4	ebb94e46-132f-402d-bb8a-efc702f8331e#3	180
5	ebb94e46-132f-402d-bb8a-efc702f8331e#4	180
6	ebb94e46-132f-402d-bb8a-efc702f8331e#5	180
7	ebb94e46-132f-402d-bb8a-efc702f8331e#6	180
8	ebb94e46-132f-402d-bb8a-efc702f8331e#7	180
9	eecfab1b-329b-4f4e-afdc-3d9513d879c2#0	833
10	eecfab1b-329b-4f4e-afdc-3d9513d879c2#1	833
11	eecfab1b-329b-4f4e-afdc-3d9513d879c2#2	833
12	eecfab1b-329b-4f4e-afdc-3d9513d879c2#3	833
13	eecfab1b-329b-4f4e-afdc-3d9513d879c2#4	833
14	eecfab1b-329b-4f4e-afdc-3d9513d879c2#5	833
15	eecfab1b-329b-4f4e-afdc-3d9513d879c2#6	833
16	eecfab1b-329b-4f4e-afdc-3d9513d879c2#7	833
17	fe28cc02-b4ac-4b59-9a16-8a8a45b730fd#0	69
18	fe28cc02-b4ac-4b59-9a16-8a8a45b730fd#1	69
19	fe28cc02-b4ac-4b59-9a16-8a8a45b730fd#2	69
20	fe28cc02-b4ac-4b59-9a16-8a8a45b730fd#3	69
21	fe28cc02-b4ac-4b59-9a16-8a8a45b730fd#4	69
22	fe28cc02-b4ac-4b59-9a16-8a8a45b730fd#5	69
23	fe28cc02-b4ac-4b59-9a16-8a8a45b730fd#6	69
24	fe28cc02-b4ac-4b59-9a16-8a8a45b730fd#7	69
25	fec0e932-308b-47dd-8793-45ade528ba03#0	16
26	fec0e932-308b-47dd-8793-45ade528ba03#1	16
27	fec0e932-308b-47dd-8793-45ade528ba03#2	16
28	fec0e932-308b-47dd-8793-45ade528ba03#3	16
29	fec0e932-308b-47dd-8793-45ade528ba03#4	16
30	fec0e932-308b-47dd-8793-45ade528ba03#5	16
31	fec0e932-308b-47dd-8793-45ade528ba03#6	16
32	fec0e932-308b-47dd-8793-45ade528ba03#7	16
