id	rollout_key	gold
1	336426ea-3e42-45c2-aba8-0c1b2a3d432d#0	13
2	336426ea-3e42-45c2-aba8-0c1b2a3d432d#1	13
3	336426ea-3e42-45c2-aba8-0c1b2a3d432d#2	13
4	336426ea-3e42-45c2-aba8-0c1b2a3d432d#3	13
5	336426ea-3e42-45c2-aba8-0c1b2a3d432d#4	13
6	336426ea-3e42-45c2-aba8-0c1b2a3d432d#5	13
7	336426ea-3e42-45c2-aba8-0c1b2a3d432d#6	13
8	336426ea-3e42-45c2-aba8-0c1b2a3d432d#7	13
9	338e47b1-f1a6-4109-8657-07769c364dcb#0	120
10	338e47b1-f1a6-4109-8657-07769c364dcb#1	120
11	338e47b1-f1a6-4109-8657-07769c364dcb#2	120
12	338e47b1-f1a6-4109-8657-07769c364dcb#3	120
13	338e47b1-f1a6-4109-8657-07769c364dcb#4	120
14	338e47b1-f1a6-4109-8657-07769c364dcb#5	120
15	338e47b1-f1a6-4109-8657-07769c364dcb#6	120
16	338e47b1-f1a6-4109-8657-07769c364dcb#7	120
17	34672a60-a1a8-4cba-a75a-ee3705ae2dda#0	190
18	34672a60-a1a8-4cba-a75a-ee3705ae2dda#1	190
19	34672a60-a1a8-4cba-a75a-ee3705ae2dda#2	190
20	34672a60-a1a8-4cba-a75a-ee3705ae2dda#3	190
21	34672a60-a1a8-4cba-a75a-ee3705ae2dda#4	190
22	34672a60-a1a8-4cba-a75a-ee3705ae2dda#5	190
23	34672a60-a1a8-4cba-a75a-ee3705ae2dda#6	190
24	34672a60-a1a8-4cba-a75a-ee3705ae2dda#7	190
25	350b2eaf-1411-4061-9448-34742d94fe1f#0	402
26	350b2eaf-1411-4061-9448-34742d94fe1f#1	402
27	350b2eaf-1411-4061-9448-34742d94fe1f#2	402
28	350b2eaf-1411-4061-9448-34742d94fe1f#3	402
29	350b2eaf-1411-4061-9448-34742d94fe1f#4	402
30	350b2eaf-1411-4061-9448-34742d94fe1f#5	402
31	350b2eaf-1411-4061-9448-34742d94fe1f#6	402
32	350b2eaf-1411-4061-9448-34742d94fe1f#7	402
33	35b2bcf6-fa25-4265-886a-2515bd7d78c9#0	1487
34	35b2bcf6-fa25-4265-886a-2515bd7d78c9#1	1487
35	35b2bcf6-fa25-4265-886a-2515bd7d78c9#2	1487
36	35b2bcf6-fa25-4265-886a-2515bd7d78c9#3	1487
37	35b2bcf6-fa25-4265-886a-2515bd7d78c9#4	1487
38	35b2bcf6-fa25-4265-886a-2515bd7d78c9#5	1487
39	35b2bcf6-fa25-4265-886a-2515bd7d78c9#6	1487
40	35b2bcf6-fa25-4265-886a-2515bd7d78c9#7	1487
41	3624db0e-a7fc-4fc6-884b-b71efc624eaa#0	1980
42	3624db0e-a7fc-4fc6-884b-b71efc624eaa#1	1980
43	3624db0e-a7fc-4fc6-884b-b71efc624eaa#2	1980
44	3624db0e-a7fc-4fc6-884b-b71efc624eaa#3	1980
45	3624db0e-a7fc-4fc6-884b-b71efc624eaa#4	1980
46	3624db0e-a7fc-4fc6-884b-b71efc624eaa#5	1980
47	3624db0e-a7fc-4fc6-884b-b71efc624eaa#6	1980
48	3624db0e-a7fc-4fc6-884b-b71efc624eaa#7	1980
49	362b9bbc-d65c-4849-89dd-6e68307a0c55#0	43
50	362b9bbc-d65c-4849-89dd-6e68307a0c55#1	43
51	362b9bbc-d65c-4849-89dd-6e68307a0c55#2	43
52	362b9bbc-d65c-4849-89dd-6e68307a0c55#3	43
53	362b9bbc-d65c-4849-89dd-6e68307a0c55#4	43
54	362b9bbc-d65c-4849-89dd-6e68307a0c55#5	43
55	362b9bbc-d65c-4849-89dd-6e68307a0c55#6	43
56	362b9bbc-d65c-4849-89dd-6e68307a0c55#7	43
57	3661c33d-a134-4c62-a9fd-e024adbdce8c#0	19
58	3661c33d-a134-4c62-a9fd-e024adbdce8c#1	19
59	3661c33d-a134-4c62-a9fd-e024adbdce8c#2	19
60	3661c33d-a134-4c62-a9fd-e024adbdce8c#3	19
61	3661c33d-a134-4c62-a9fd-e024adbdce8c#4	19
62	3661c33d-a134-4c62-a9fd-e024adbdce8c#5	19
63	3661c33d-a134-4c62-a9fd-e024adbdce8c#6	19
64	3661c33d-a134-4c62-a9fd-e024adbdce8c#7	19
65	3662de7e-54a0-4adf-b74a-37f9a0010bf2#0	3
66	3662de7e-54a0-4adf-b74a-37f9a0010bf2#1	3
